Liberal/National Coalition Percentage,StateAb,0-17,18-34,50-64,65-79,80+,One parent family,Median weekly household income,Medain monthly mortgage repayments,Owned outright,Overseas,Recent Migrant,LOTE spoken at home,Partially engaged,At least partially engaged,Not engaged,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Machinery Operators and Drivers,Labourers,Not stated,Year 12 equivalent,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
58.66,QLD,0.262,0.21,0.196,0.108,0.024,0.139,1384,1733,0.293,0.113,0.048,0.048,0.165,0.039,0.227,0.136,0.118,0.179,0.089,0.107,0.136,0.138,0.008,0.614,61.51691089402963,-2.8569108940296317,-0.7538274534060553,0.26932959458428485,4.441780013557396,0.006545705793240262
58.6,QLD,0.268,0.242,0.161,0.1,0.025,0.188,1463,1777,0.228,0.259,0.09,0.109,0.176,0.034,0.207,0.102,0.135,0.168,0.109,0.148,0.094,0.122,0.007,0.7,55.47171807095865,3.12828192904135,0.7540734474166391,0.12449929240410998,4.441773057605043,0.0025268979353090452
64.56,WA,0.247,0.189,0.195,0.128,0.037,0.147,1361,1757,0.311,0.194,0.067,0.066,0.221,0.045,0.204,0.119,0.15,0.185,0.104,0.111,0.086,0.133,0.006,0.579,58.60339395773403,5.956606042265975,1.5448888851016012,0.24373276531393948,4.407548093302363,0.024037159750611457
36.01,NSW,0.231,0.258,0.185,0.1,0.034,0.231,1212,1733,0.297,0.53,0.15,0.686,0.142,0.029,0.301,0.08,0.149,0.146,0.103,0.138,0.117,0.145,0.014,0.772,33.009503483974214,3.000496516025784,0.7924107994375914,0.2706138557836863,4.440661117021709,0.007280200052158722
37.79,TAS,0.225,0.186,0.204,0.148,0.047,0.166,1251,1439,0.373,0.127,0.026,0.046,0.222,0.037,0.205,0.124,0.215,0.14,0.122,0.154,0.041,0.094,0.005,0.647,43.11560928315758,-5.325609283157583,-1.4070257442838645,0.2712030588712001,4.415232183676326,0.02302195240017567
35.82,VIC,0.213,0.28,0.177,0.104,0.033,0.204,1231,1517,0.357,0.485,0.164,0.595,0.163,0.032,0.248,0.084,0.146,0.138,0.106,0.134,0.114,0.15,0.013,0.794,31.893978373554937,3.9260216264450634,1.0723983835467825,0.3181872779264143,4.430856712793983,0.016771813859432147
43.08,WA,0.221,0.246,0.176,0.1,0.034,0.15,1713,2100,0.278,0.325,0.127,0.191,0.187,0.035,0.171,0.118,0.245,0.159,0.103,0.134,0.056,0.082,0.006,0.752,49.40364432996887,-6.323644329968872,-1.52040558033439,0.11998922957827107,4.408966142480763,0.009849704667848503
35.17,VIC,0.233,0.257,0.156,0.08,0.031,0.143,1725,2000,0.272,0.347,0.143,0.329,0.167,0.031,0.174,0.148,0.269,0.113,0.093,0.142,0.058,0.071,0.007,0.799,33.40536715423274,1.7646328457672595,0.43152230556632587,0.14930428530337006,4.448938527283223,0.0010213028610182434
47.39,NSW,0.198,0.162,0.218,0.198,0.064,0.16,1038,1517,0.445,0.131,0.017,0.04,0.215,0.037,0.261,0.121,0.182,0.166,0.135,0.117,0.054,0.104,0.008,0.562,56.791576230736936,-9.401576230736936,-2.354408168998651,0.18883377677495536,4.3474858356309385,0.04032583367016476
66.67,VIC,0.214,0.193,0.211,0.164,0.05,0.161,1058,1300,0.396,0.113,0.023,0.049,0.201,0.042,0.24,0.135,0.155,0.162,0.118,0.119,0.071,0.125,0.008,0.549,56.77294229598599,9.89705770401401,2.4087543226216255,0.14118579827183167,4.342523456582212,0.0298075878035732
57.79,VIC,0.226,0.192,0.195,0.12,0.055,0.123,2018,2400,0.384,0.294,0.102,0.199,0.193,0.028,0.153,0.206,0.34,0.075,0.088,0.129,0.016,0.036,0.005,0.89,58.95889827927479,-1.1688982792747922,-0.29930746432628935,0.22412748037381341,4.450747232250022,8.087044928928174e-4
34.64,VIC,0.282,0.255,0.144,0.074,0.015,0.179,1496,1700,0.234,0.336,0.119,0.372,0.167,0.035,0.216,0.098,0.146,0.146,0.11,0.155,0.112,0.109,0.009,0.692,33.3809065633815,1.2590934366184996,0.3084438149323917,0.15231243007429002,4.45064331521456,5.341972965966242e-4
26.17,NSW,0.177,0.293,0.163,0.089,0.03,0.135,2093,2600,0.245,0.331,0.113,0.261,0.145,0.029,0.122,0.17,0.383,0.083,0.083,0.127,0.023,0.045,0.006,0.844,33.418467047760565,-7.248467047760563,-1.8743163651158052,0.23918586911730347,4.38620995875403,0.03451379887543067
47.2,NSW,0.264,0.252,0.15,0.077,0.021,0.141,1941,2200,0.232,0.409,0.154,0.41,0.149,0.031,0.175,0.116,0.23,0.124,0.092,0.168,0.079,0.081,0.008,0.777,49.01111558258723,-1.8111155825872274,-0.4408333422353743,0.14135134957762605,4.448786452011164,9.997314599788304e-4
